time, U1PosX, U1PosY, U1PosZ, U1HeadX, U1HeadY, U1HeadZ, U1HeadEulerX, U1HeadEulerY, U1LocalHeadEulerZ, U1ControllerRX, U1ControllerRY, U1ControllerRZ, U1ControllerEulerRX, U1ControllerEulerRY, U1ControllerEulerRZ,U1ControllerLX, U1ControllerLY, U1ControllerLZ, U1ControllerEulerLX, U1ControllerEulerLY, U1ControllerEulerLZ,U1PointerX, U1PointerY, U1PointerZ, U1PointerVis, U1StickyPointerX, U1StickyPointerY, U1StickyPointerZ, U1StickyPointerVis, U1SpeakingU2PosX, U2PosY, U2PosZ, U2HeadX, U2HeadY, U2HeadZ, U2HeadEulerX, U2HeadEulerY, U2LocalHeadEulerZ, U2ControllerRX, U2ControllerRY, U2ControllerRZ, U2ControllerEulerRX, U2ControllerEulerRY, U2ControllerEulerRZ,U2ControllerLX, U2ControllerLY, U2ControllerLZ, U2ControllerEulerLX, U2ControllerEulerLY, U2ControllerEulerLZ,U2PointerX, U2PointerY, U2PointerZ, U2PointerVis, U2StickyPointerX, U2StickyPointerY, U2StickyPointerZ, U2StickyPointerVis, U2Speaking
0.998,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.751, 342.838, 359.735,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.501, -0.027, -0.139,0.538, 1.276, 0.197,347.260, 353.469, 354.423,0.624, 0.895, 0.551,339.625, 343.184, 347.315,0.330, 0.891, 0.459,350.081, 23.472, 4.175,null,null,null,0,null,null,null,1,0
1.040,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.739, 342.874, 359.693,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.501, -0.027, -0.139,0.531, 1.272, 0.194,346.831, 354.124, 354.276,0.622, 0.896, 0.549,339.076, 341.935, 347.028,0.330, 0.893, 0.457,351.034, 22.975, 8.009,null,null,null,0,null,null,null,1,0
1.079,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.712, 342.855, 359.743,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,0,0.501, -0.027, -0.139,0.525, 1.270, 0.193,346.901, 355.154, 353.914,0.618, 0.897, 0.548,338.182, 340.848, 349.407,0.332, 0.896, 0.455,351.080, 22.944, 7.114,null,null,null,0,null,null,null,1,0
1.119,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.754, 342.884, 359.768,-0.495, 0.786, 0.692,15.262, 9.465, 55.059,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,1,0.501, -0.027, -0.139,0.521, 1.270, 0.192,347.195, 355.832, 353.810,0.616, 0.897, 0.546,337.196, 340.279, 352.144,0.334, 0.900, 0.452,350.329, 23.473, 6.000,null,null,null,0,null,null,null,1,0
1.160,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.781, 342.892, 359.768,-0.495, 0.786, 0.692,15.262, 9.465, 55.059,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,1,0.501, -0.027, -0.139,0.521, 1.270, 0.192,347.195, 355.832, 353.810,0.616, 0.897, 0.546,337.196, 340.279, 352.144,0.334, 0.900, 0.452,350.329, 23.473, 6.000,null,null,null,0,null,null,null,1,0
1.199,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.750, 342.869, 359.758,-0.495, 0.786, 0.692,15.262, 9.465, 55.059,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,1,0.560, -0.027, -0.166,0.577, 1.270, 0.165,347.457, 356.170, 353.805,0.674, 0.896, 0.520,337.192, 340.240, 352.788,0.394, 0.901, 0.424,350.251, 23.869, 5.404,null,null,null,0,null,null,null,1,0
1.239,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.718, 342.849, 359.700,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,1,0.619, -0.027, -0.193,0.630, 1.273, 0.138,347.975, 356.474, 354.084,0.731, 0.894, 0.494,338.562, 341.011, 349.045,0.453, 0.903, 0.396,350.353, 23.750, 4.167,null,null,null,0,null,null,null,1,0
1.279,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.766, 342.842, 359.754,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,1,0.619, -0.027, -0.193,0.628, 1.274, 0.137,348.014, 356.325, 354.340,0.729, 0.892, 0.493,338.933, 339.848, 348.540,0.451, 0.904, 0.396,349.550, 22.780, 4.033,null,null,null,0,null,null,null,1,0
1.318,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.786, 342.884, 359.756,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,1,0.619, -0.027, -0.193,0.628, 1.274, 0.137,348.014, 356.325, 354.340,0.729, 0.892, 0.493,338.933, 339.848, 348.540,0.451, 0.904, 0.396,349.550, 22.780, 4.033,null,null,null,0,null,null,null,1,0
1.360,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.734, 342.879, 359.770,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,1,0.619, -0.027, -0.193,0.628, 1.274, 0.137,348.014, 356.325, 354.340,0.729, 0.892, 0.493,338.933, 339.848, 348.540,0.451, 0.904, 0.396,349.550, 22.780, 4.033,null,null,null,0,null,null,null,1,0
1.401,0.000, -0.027, 0.000,-0.382, 0.816, 0.443,354.755, 342.854, 359.751,-0.495, 0.786, 0.692,15.262, 9.465, 55.058,-0.618, 0.787, 0.700,14.638, 271.244, 306.660,null,null,null,0,null,null,null,1,1,0.911, -0.027, -0.313,0.919, 1.275, 0.014,347.896, 355.719, 354.439,1.018, 0.891, 0.372,339.281, 338.108, 350.755,0.742, 0.901, 0.278,349.812, 21.797, 4.454,null,null,null,0,null,null,null,1,0
