time, U1PosX, U1PosY, U1PosZ, U1HeadX, U1HeadY, U1HeadZ, U1HeadEulerX, U1HeadEulerY, U1LocalHeadEulerZ, U1ControllerRX, U1ControllerRY, U1ControllerRZ, U1ControllerEulerRX, U1ControllerEulerRY, U1ControllerEulerRZ,U1ControllerLX, U1ControllerLY, U1ControllerLZ, U1ControllerEulerLX, U1ControllerEulerLY, U1ControllerEulerLZ,U1PointerX, U1PointerY, U1PointerZ, U1PointerVis, U1StickyPointerX, U1StickyPointerY, U1StickyPointerZ, U1StickyPointerVis, U1Speaking,U2PosX, U2PosY, U2PosZ, U2HeadX, U2HeadY, U2HeadZ, U2HeadEulerX, U2HeadEulerY, U2LocalHeadEulerZ, U2ControllerRX, U2ControllerRY, U2ControllerRZ, U2ControllerEulerRX, U2ControllerEulerRY, U2ControllerEulerRZ,U2ControllerLX, U2ControllerLY, U2ControllerLZ, U2ControllerEulerLX, U2ControllerEulerLY, U2ControllerEulerLZ,U2PointerX, U2PointerY, U2PointerZ, U2PointerVis, U2StickyPointerX, U2StickyPointerY, U2StickyPointerZ, U2StickyPointerVis, U2Speaking
1.041,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.782, 20.485, 1.404,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.017, 1.258, 0.013,353.891, 348.983, 4.015,0.168, 0.745, 0.237,354.269, 335.398, 4.303,-0.035, 0.763, 0.300,5.662, 17.010, 14.903,null,null,null,0,null,null,null,1,0
1.079,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.782, 20.477, 1.404,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,0.005, 1.257, 0.009,354.116, 345.218, 4.761,0.167, 0.743, 0.237,354.754, 334.970, 4.055,-0.045, 0.761, 0.304,6.690, 15.370, 17.145,null,null,null,0,null,null,null,1,0
1.125,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.781, 20.483, 1.398,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.819, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,-0.004, 1.255, 0.006,354.544, 342.499, 5.384,0.166, 0.744, 0.237,355.029, 334.379, 3.954,-0.054, 0.761, 0.305,7.097, 14.159, 19.075,null,null,null,0,null,null,null,1,0
1.162,0.000, -0.027, 0.000,0.762, 0.829, 0.148,356.786, 20.485, 1.403,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,-0.011, 1.253, 0.004,355.433, 341.274, 5.924,0.162, 0.747, 0.236,354.941, 333.305, 4.141,-0.062, 0.765, 0.302,6.215, 13.456, 20.885,null,null,null,0,null,null,null,1,0
1.202,0.000, -0.027, 0.000,0.762, 0.830, 0.148,356.784, 20.483, 1.403,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,-0.018, 1.251, 0.002,356.203, 340.233, 6.371,0.158, 0.750, 0.235,354.868, 332.384, 4.303,-0.069, 0.767, 0.299,5.478, 12.833, 22.442,null,null,null,0,null,null,null,1,0
1.239,0.000, -0.027, 0.000,0.762, 0.830, 0.148,356.785, 20.479, 1.404,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,-0.017, 1.250, 0.002,356.449, 340.552, 6.373,0.156, 0.752, 0.235,354.625, 332.060, 4.456,-0.069, 0.767, 0.299,5.679, 12.774, 22.319,null,null,null,0,null,null,null,1,0
1.279,0.000, -0.027, 0.000,0.762, 0.830, 0.148,356.782, 20.481, 1.402,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,-0.014, 1.249, 0.005,357.023, 342.179, 5.827,0.152, 0.753, 0.233,354.979, 331.607, 4.272,-0.067, 0.766, 0.299,6.361, 12.947, 22.036,null,null,null,0,null,null,null,1,0
1.319,0.000, -0.027, 0.000,0.762, 0.830, 0.148,356.783, 20.481, 1.399,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,-0.012, 1.248, 0.007,357.247, 343.056, 5.618,0.152, 0.754, 0.233,354.939, 331.589, 4.301,-0.065, 0.765, 0.300,6.597, 13.186, 21.482,null,null,null,0,null,null,null,1,0
1.360,0.000, -0.027, 0.000,0.762, 0.830, 0.148,356.788, 20.485, 1.395,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.820, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,-0.010, 1.248, 0.010,357.431, 343.893, 5.507,0.152, 0.754, 0.233,354.928, 331.632, 4.207,-0.062, 0.766, 0.300,6.616, 13.576, 21.437,null,null,null,0,null,null,null,1,0
1.400,0.000, -0.027, 0.000,0.762, 0.830, 0.148,356.785, 20.487, 1.399,0.789, 0.799, 0.422,50.030, 56.549, 179.308,0.664, 0.798, 0.460,49.819, 13.295, 179.857,null,null,null,0,null,null,null,1,0,0.000, -0.027, 0.000,-0.007, 1.248, 0.012,357.442, 344.861, 5.413,0.152, 0.754, 0.232,355.071, 331.872, 4.363,-0.059, 0.766, 0.300,6.670, 14.218, 21.290,null,null,null,0,null,null,null,1,0
